Key;Name;VM_ID;Request number;Description;OS;DNS Name;Server Type;VLANs;IP address;DNS;Gateway;Subnet;vHDD;vCPU;vRAM;Location VM;Lifetime;Services;Cluster;First Administrator;Other Administrators;Owner;AD Admin Group;Diagnostics;Last OS Update Time;Security scan;Status;Created;Updated;Deleted;Deletion date
CMDB-76895;MMZ-SRV-MGMT1;VirtualMachine-vm-101995;;;Microsoft Windows Server 2016 or later (64-bit);mmz-srv-mgmt1.npo.izhmash;Продуктив;;10.25.6.180;10.25.0.13,10.25.0.14;10.25.6.177;10.24.76.0/24;54;2;4;Заводоуправление;;Администрирование инфраструктуры;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76893;MMZ-SRV-MGMT2;VirtualMachine-vm-1982;;Сервер администрирования Слуднева ЕН;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-MGMT2.npo.izhmash;Продуктив;;10.25.3.5;10.25.0.13,10.25.0.14;10.25.3.1;10.25.3.0/27;44;2;4;Заводоуправление;;Администрирование инфраструктуры;;Грибков Алексей Константинович;Грибков Алексей Константинович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-318272;MMZ-SRV-MGMT3;VirtualMachine-vm-1985;;Машина администрирования Грибкова А.;Microsoft Windows 8.x (64-bit);MMZ-SRV-MGMT3.npo.izhmash;;;10.24.77.29,169.254.206.144;10.25.0.13,10.25.0.14;10.24.77.1;10.24.77.0/27;106;2;6;;;;;Грибков Алексей Константинович;Грибков Алексей Константинович;Грибков Алексей Константинович;;;;;Running;2.04.21;7.10.21;false;
CMDB-76802;MMZ-SRV-MIB1;VirtualMachine-vm-12528;;СМИИБ;;;Продуктив;;10.25.5.5;;;;1766;12;16;Заводоуправление;;СМИИБ;;Кокорников Илья Владимирович;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76801;MMZ-SRV-MIB2;VirtualMachine-vm-12526;;СМИИБ;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-MIB2.npo.izhmash;Продуктив;;10.25.5.6;10.25.0.13,10.25.0.14;10.25.5.1;10.25.5.0/28;458;8;8;Заводоуправление;;СМИИБ;;Кокорников Илья Владимирович;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-305720;MMZ-SRV-MON1;VirtualMachine-vm-47215;;Сервер мониторинга;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-MON1.npo.izhmash;Продуктив;;10.25.10.8;10.25.0.13,10.25.0.14;10.25.10.1;10.25.10.0/27;396;4;16;Заводоуправление;;Администрирование инфраструктуры;;Подгорнов Андрей Анатольевич;Грибков Алексей Константинович;;AD-MMZ-CompanyAdmin;;;;Running;22.01.21;13.07.21;false;
CMDB-76759;MMZ-SRV-MSAD1;VirtualMachine-vm-9184;;АСУТП;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-MSAD1.npo.izhmash;Продуктив;;10.25.16.11;10.25.0.5,10.25.0.6;10.25.16.1;10.25.16.0/28;40;1;2;Заводоуправление;;MES;;Гусляков Владислав Михайлович;Карант Валерий Витальевич;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.07.21;false;
CMDB-76800;MMZ-SRV-MSADPT1;VirtualMachine-vm-8889;;АСУТП;CentOS 7 (64-bit);mmz-srv-msadpt1;Продуктив;;10.25.16.6,172.17.42.1;10.25.0.13,10.25.0.14;10.25.16.1;10.25.16.0/28;100;4;8;Заводоуправление;;MES;;Гусляков Владислав Михайлович;Карант Валерий Витальевич;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.07.21;false;
CMDB-76760;MMZ-SRV-MSFSYN1;VirtualMachine-vm-9086;;АСУТП;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-MSFSYN1.npo.izhmash;Продуктив;;10.25.16.10;10.25.0.13,10.25.0.14;10.25.16.1;10.25.16.0/28;40;1;2;Заводоуправление;;MES;;Гусляков Владислав Михайлович;Карант Валерий Витальевич;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.07.21;false;
CMDB-76764;MMZ-SRV-MSMTRK1;VirtualMachine-vm-8971;;АСУТП;CentOS 7 (64-bit);mmz-srv-msmtrk1;Продуктив;;10.25.16.8,172.17.42.1;10.25.0.5,10.25.0.6;10.25.16.1;10.25.16.0/28;120;2;8;Заводоуправление;;MES;;Гусляков Владислав Михайлович;Карант Валерий Витальевич;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.07.21;false;
CMDB-76799;MMZ-SRV-MSSHDL1;VirtualMachine-vm-8856;;АСУТП;CentOS 7 (64-bit);mmz-srv-msshdl1;Продуктив;;10.25.16.5,172.17.42.1;10.25.0.13,10.25.0.14;10.25.16.1;10.25.16.0/28;60;4;8;Заводоуправление;;MES;;Гусляков Владислав Михайлович;Карант Валерий Витальевич;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.07.21;false;
CMDB-76770;MMZ-SRV-MSTST1;VirtualMachine-vm-9140;;АСУТП - система управления ЖЦ изделия;CentOS 7 (64-bit);mmz-srv-mstst1;Продуктив;;10.25.36.5,172.17.42.1;10.25.0.13,10.25.0.14;10.25.36.1;10.25.36.0/28;120;4;16;Заводоуправление;;PLM Teamcenter;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.07.21;false;
CMDB-76769;MMZ-SRV-MSTST2;VirtualMachine-vm-9190;;АСУТП - система управления ЖЦ изделия (резерв);Microsoft Windows Server 2012 (64-bit);MMZ-SRV-MSTST2.npo.izhmash;Продуктив;;10.25.36.6;10.25.0.5,10.25.0.6;10.25.36.1;10.25.36.0/28;120;2;4;Заводоуправление;;MES;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.07.21;false;
CMDB-76780;MMZ-SRV-MX1;VirtualMachine-vm-1433;;;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-MX1.npo.izhmash;Продуктив;;10.25.1.16,172.16.4.11||10.25.1.16,172.16.4.11;10.25.0.13,10.25.0.14;172.16.4.1,10.25.1.1;10.25.1.0/27,172.16.4.0/28;78||78;4;8;Заводоуправление;;Электронная почта;;Щербинин Андрей Владимирович;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;11.10.21;false;
CMDB-76779;MMZ-SRV-MX2;VirtualMachine-vm-1439;;;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-MX2.npo.izhmash;Продуктив;;10.25.1.17,172.16.4.12;10.25.0.13,10.25.0.14;172.16.4.1,10.25.1.1;10.25.1.0/27,172.16.4.0/28;78;4;8;Заводоуправление;;Электронная почта;;Щербинин Андрей Владимирович;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76820;MMZ-SRV-MXPTR1;VirtualMachine-vm-35779;;MaxPatrol Main Server;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-MXPTR1.npo.izhmash;Продуктив;;10.25.5.10;10.25.0.13,10.25.0.14;10.25.5.1;10.25.5.0/27;346;4;16;Заводоуправление;;Max Patrol;;Кокорников Илья Владимирович;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-320467;MMZ-SRV-NBOX1;VirtualMachine-vm-96069;;;;;;;;;;;22;1;2;;;;;Кокорников Илья Владимирович;Грибков Алексей Константинович||Слуднева Екатерина Николаевна;;;;;;Running;22.04.21;13.07.21;false;
CMDB-76813;MMZ-SRV-NSI1;VirtualMachine-vm-18606;;Сервер лицензий для Семантик;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-NSI1.npo.izhmash;Продуктив;;10.25.30.5,10.25.31.8;10.25.0.13,10.25.0.14;10.25.31.1,10.25.30.1;10.25.30.0/27,10.25.31.0/27;64;2;4;Заводоуправление;;PLM Teamcenter;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76817;MMZ-SRV-OLPS01;;;Система тестирования HR;CentOS 6 (32-bit);MMZ-SRV-OLPS01;Продуктив;;10.25.28.8;;;;40;1;2;Заводоуправление;;Олимпокс;;Ахмедов Аскер Рамисович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;27.01.21;true;
CMDB-305993;MMZ-SRV-OLPS1;VirtualMachine-vm-73163;;"Сервер для отдела обучения. ПО ""Олимпокс""";Debian GNU/Linux 9 (64-bit);mmz-srv-olps1;;;10.25.28.9;127.0.0.1;10.25.28.1;10.25.28.0/27;18;1;2;;;;;Щербинин Андрей Владимирович;Ахмедов Аскер Рамисович;;;;;;Running;25.01.21;13.07.21;false;
CMDB-76816;MMZ-SRV-ORA4;VirtualMachine-vm-14009;;;Oracle Linux 7 (64-bit);mmz-srv-ora4;Продуктив;;10.26.9.17,10.25.38.5;10.25.0.13,10.25.0.14;10.25.38.1;10.25.38.0/28,10.26.9.0/27;321;4;16;Заводоуправление;;MES;;Гусляков Владислав Михайлович;Карант Валерий Витальевич;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76884;MMZ-SRV-ORATST1;VirtualMachine-vm-10349;;MES Stagging;Oracle Linux 7 (64-bit);mmz-srv-oratst1;Тест;;10.25.36.7,10.26.9.18;10.25.0.13,10.25.0.6,10.25.0.14;10.25.36.1;10.25.36.0/24,10.26.9.0/24;280;4;16;Заводоуправление;;PLM Teamcenter;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76891;MMZ-SRV-OTRS;VirtualMachine-vm-1953;;OTRS.;FreeBSD Pre-11 versions (64-bit);otrs.mmzavod.local;Продуктив;;10.25.28.5;10.25.0.13,10.25.0.14;;;202;1;2;Заводоуправление;;ПомогиМне;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-320875;MMZ-SRV-PCNS1;VirtualMachine-vm-106100;;;CentOS 8 (64-bit);MMZ-SRV-PCNS1;;;10.25.3.6;10.25.0.13,10.25.0.14;10.25.3.1;10.25.3.0/27;11;1;1;;;;;Щербинин Андрей Владимирович;Ахмедов Аскер Рамисович;;;;;;Running;26.04.21;14.07.21;false;
CMDB-305875;MMZ-SRV-PCUT1;VirtualMachine-vm-83945;RFC-9361;Сервер PaperCut. Логирование сетевой печати.;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-PCUT1.npo.izhmash;Продуктив;;10.25.30.13;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/27;54;2;4;;;Печать;;Слуднева Екатерина Николаевна;Ахмедов Аскер Рамисович;Стенюшкин Андрей Александрович;;;;;Running;25.01.21;13.07.21;false;
CMDB-313384;MMZ-SRV-PGSQL1;VirtualMachine-vm-97857;;;Debian GNU/Linux 10 (64-bit);mmz-srv-pgsql1;;;10.25.8.82;127.0.0.1;10.25.8.81;;54;2;4;;;;;Щербинин Андрей Владимирович;Ахмедов Аскер Рамисович;;;;;;Running;25.02.21;13.07.21;false;
CMDB-313430;MMZ-SRV-PGSQL2;VirtualMachine-vm-97858;;;Debian GNU/Linux 10 (64-bit);mmz-srv-pgsql2;;;10.25.8.83;127.0.0.1;10.25.8.81;;54;2;4;;;;;Щербинин Андрей Владимирович;Ахмедов Аскер Рамисович;;;;;;Running;25.02.21;13.07.21;false;
CMDB-313431;MMZ-SRV-PGSQL3;;;;Debian GNU/Linux 10 (64-bit);mmz-srv-pgsql3;;;10.25.17.27;10.25.0.13;10.25.17.17;;16;1;2;;;;;;;;;;;;Stopped;25.02.21;1.03.21;true;
CMDB-76815;MMZ-SRV-PRNT1;VirtualMachine-vm-24675;;Новый принт-сервер, используется для подключения перенесенных принтеров;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-PRNT1.npo.izhmash;Продуктив;;10.25.30.19;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/27;368;6;8;Заводоуправление;;Печать;;Слуднева Екатерина Николаевна;Грибков Алексей Константинович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-77722;MMZ-SRV-PRNT1-T;VirtualMachine-vm-38451;;ВМ test PRINT function  CO Stenushkin;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-PRNT1-T.npo.izhmash;Тест;;10.25.30.18;10.25.0.13,10.25.0.14;10.25.30.1;10.25.30.0/27;384;2;4;Заводоуправление;;Печать;;Слуднева Екатерина Николаевна;Грибков Алексей Константинович;Кокорников Илья Владимирович;AD-MMZ-CompanyAdmin;;;;Running;24.12.19;2.08.21;false;
CMDB-76814;MMZ-SRV-PRX2;VirtualMachine-vm-2223;;;;control;Продуктив;;10.25.2.5,172.27.156.1;127.0.0.1;10.25.2.1;10.25.2.0/28,172.27.156.0/24;18;2;2;Заводоуправление;;Интернет;;Грибков Алексей Константинович;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76843;MMZ-SRV-PSTSQL1;;;PostgreSQL Node1;Debian GNU/Linux 10 (64-bit);mmz-srv-pstsql1;Продуктив;;10.25.8.197;127.0.0.1;10.25.8.193;;30;2;4;Заводоуправление;;;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;9.03.21;true;
CMDB-76841;MMZ-SRV-PSTSQL2;;;PostgreSQL Node2;Debian GNU/Linux 10 (64-bit);mmz-srv-pstsql2;Продуктив;;10.25.8.198;127.0.0.1;10.25.8.193;;30;2;4;Заводоуправление;;;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;9.03.21;true;
CMDB-76842;MMZ-SRV-PSTSQL3;;;PostgreSQL Node3;Debian GNU/Linux 10 (64-bit);mmz-srv-pstsql3;Продуктив;;10.25.8.199;127.0.0.1;10.25.8.193;;30;2;4;Заводоуправление;;;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;9.03.21;true;
CMDB-76811;MMZ-SRV-RADIUS1;VirtualMachine-vm-37658;;Система авторизации WiFi;Debian GNU/Linux 10 (64-bit);mmz-srv-radius1;Продуктив;;10.25.4.12;127.0.0.1;10.25.4.1;10.25.4.0/28;14;2;2;Заводоуправление;;RADIUS;;Щербинин Андрей Владимирович;Кокорников Илья Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76810;MMZ-SRV-RADIUS2;VirtualMachine-vm-37781;;;Debian GNU/Linux 10 (64-bit);mmz-srv-radius2;Продуктив;;10.25.4.13;127.0.0.1;10.25.4.1;10.25.4.0/28;14;2;2;Заводоуправление;;RADIUS;;Щербинин Андрей Владимирович;Кокорников Илья Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76903;MMZ-SRV-RADIUS3;VirtualMachine-vm-43932;;;Debian GNU/Linux 10 (64-bit);mmz-srv-radius3;;;10.25.4.6;127.0.0.1;10.25.4.1;10.25.4.0/28;18;1;2;Заводоуправление;;RADIUS;;Щербинин Андрей Владимирович;Кокорников Илья Владимирович;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76832;MMZ-SRV-RDCB1;VirtualMachine-vm-31490;;RDS_FARM1 Connection Broker-01;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDCB1.npo.izhmash;Продуктив;;10.25.6.22;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;62;4;12;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76831;MMZ-SRV-RDCB2;VirtualMachine-vm-31489;;RDS_FARM1 Connection Broker-02;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDCB2.npo.izhmash;Продуктив;;10.25.6.23;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;62;4;12;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76829;MMZ-SRV-RDGW1;VirtualMachine-vm-47217;;RDS_FARM Gateway-01;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDGW1.npo.izhmash;Продуктив;;10.25.6.8;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;96;4;16;Заводоуправление;;Удалённый доступ (RDS & VPN);;Щербинин Андрей Владимирович;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-106208;MMZ-SRV-RDGW2;VirtualMachine-vm-47129;;RDS_FARM Gateway-02;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDGW2.npo.izhmash;Продуктив;;10.25.6.9;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;96;4;16;Заводоуправление;;Удалённый доступ (RDS & VPN);;Щербинин Андрей Владимирович;Слуднева Екатерина Николаевна;;AD-MMZ-CompanyAdmin;;;;Running;15.04.20;13.07.21;false;
CMDB-76824;MMZ-SRV-RDLIC2;VirtualMachine-vm-30863;;RDS_FARM1 сервер лицензий;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDLIC2.npo.izhmash;Продуктив;;10.25.6.12;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;54;2;4;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76827;MMZ-SRV-RDLIC3;;;Secure SKPD RD License;;;Продуктив;;10.25.6.27;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;50;4;8;Заводоуправление;;СКПД;;Грибков Алексей Константинович;Грибков Алексей Константинович;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;7.07.21;true;
CMDB-324984;MMZ-SRV-RDLIC4;VirtualMachine-vm-112143;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDLIC4.npo.izhmash;;;10.25.6.30;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;84;2;4;;;;;;;;;;;;Running;4.06.21;13.07.21;;
CMDB-76825;MMZ-SRV-RDSH1;VirtualMachine-vm-30975;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH1.npo.izhmash;Продуктив;;10.25.6.66;10.25.0.13,10.25.0.14;10.25.6.65;;82;8;32;Заводоуправление;;Удалённый доступ (RDS & VPN);;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;4.08.21;false;
CMDB-76834;MMZ-SRV-RDSH10;VirtualMachine-vm-35990;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH10.npo.izhmash;Продуктив;;10.25.6.13;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;132;8;32;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76851;MMZ-SRV-RDSH11;VirtualMachine-vm-35991;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH11.npo.izhmash;Продуктив;;10.25.6.19;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;132;8;32;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76852;MMZ-SRV-RDSH12;VirtualMachine-vm-35992;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH12.npo.izhmash;Продуктив;;10.25.6.20;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;132;8;32;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76854;MMZ-SRV-RDSH13;VirtualMachine-vm-35993;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH13.npo.izhmash;Продуктив;;10.25.6.21;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;132;8;32;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76853;MMZ-SRV-RDSH14;VirtualMachine-vm-36758;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH14.npo.izhmash;Продуктив;;10.25.6.29;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;132;8;32;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76847;MMZ-SRV-RDSH15;VirtualMachine-vm-36897;;"RDS_FARM1 SH-15 (Collection ""ADM-1C-MMZ"")";Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH15.npo.izhmash;Продуктив;;10.25.6.80;10.25.0.13,10.25.0.14;10.25.6.65;;172;8;32;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;14.07.21;false;
CMDB-76850;MMZ-SRV-RDSH16;VirtualMachine-vm-37801;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH16.npo.izhmash;Продуктив;;10.25.6.194;10.25.0.13,10.25.0.14;10.25.6.193;;378;16;128;Заводоуправление;;Закрытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;4.08.21;false;
CMDB-76849;MMZ-SRV-RDSH17;;;"RDS_FARM1 SH-17 (Collection ""ADM-PLM-KK"")";Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH17.npo.izhmash;Продуктив;;10.25.6.15;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;222;8;32;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;16.04.21;true;
CMDB-319987;MMZ-SRV-RDSH17-DELETE;;;"RDS_FARM1 SH-17 (Collection ""ADM-PLM-KK"")";;;;;;;;;190;8;32;;;;;;;;;;;;Stopped;16.04.21;19.04.21;true;
CMDB-76846;MMZ-SRV-RDSH18;VirtualMachine-vm-37905;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH18.npo.izhmash;Продуктив;;10.25.6.16;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;116;4;16;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;4.08.21;false;
CMDB-76848;MMZ-SRV-RDSH19;VirtualMachine-vm-37906;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH19.npo.izhmash;Продуктив;;10.25.6.17;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;116;4;16;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;4.08.21;false;
CMDB-76840;MMZ-SRV-RDSH2;VirtualMachine-vm-31491;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH2.npo.izhmash;Продуктив;;10.25.6.67;10.25.0.13,10.25.0.14;10.25.6.65;;82;8;32;Заводоуправление;;Открытый контур;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;4.08.21;false;
CMDB-77714;MMZ-SRV-RDSH20;VirtualMachine-vm-40145;;"RDS_FARM1 SH-20 (Collection ""ADM-1C-KK"")";Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH20.npo.izhmash;Продуктив;;10.25.6.74;10.25.0.13,10.25.0.14;10.25.6.65;;172;8;32;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];Кокорников Илья Владимирович;AD-MMZ-CompanyAdmin;;;;Running;24.12.19;13.07.21;false;
CMDB-76823;MMZ-SRV-RDSH21;VirtualMachine-vm-8717;;"RDS_FARM1 SH-21 (Collection ""ADM-MMZ"")";Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH21.npo.izhmash;Продуктив;;10.25.6.178;10.25.0.13,10.25.0.14;10.25.6.177;;116;4;16;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76839;MMZ-SRV-RDSH22;VirtualMachine-vm-52458;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH22.npo.izhmash;Продуктив;;10.25.6.234;10.25.0.13,10.25.0.14;10.25.6.225;;132;8;32;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76838;MMZ-SRV-RDSH23;VirtualMachine-vm-52459;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH23.npo.izhmash;Продуктив;;10.25.6.231;10.25.0.13,10.25.0.14;10.25.6.225;;132;8;32;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76837;MMZ-SRV-RDSH24;VirtualMachine-vm-52460;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH24.npo.izhmash;Продуктив;;10.25.6.228;10.25.0.13,10.25.0.14;10.25.6.225;;132;8;32;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76836;MMZ-SRV-RDSH25;VirtualMachine-vm-52461;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH25.npo.izhmash;Продуктив;;10.25.6.236;10.25.0.13,10.25.0.14;10.25.6.225;;132;8;32;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-305955;MMZ-SRV-RDSH3;VirtualMachine-vm-36269;;"RDS_FARM1 SH-3 (Collection ""USR-RDS-EPI"") (Эпицентр Пикинский А.)";Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-RDSH3.npo.izhmash;;;10.25.6.28;10.25.0.13,10.25.0.14;10.25.6.1;10.25.6.0/27;332;8;32;;;;;Щербинин Андрей Владимирович;Ахмедов Аскер Рамисович;;;;;;Running;25.01.21;13.07.21;false;
